customer_number,company_name,address_line_1,suburb,state,sostcode
C000171,SEALED AIR AUSTRALIA,1126 Sydney Road,Fawkner,VIC,3060
C000172,SF COLOR,1/7 Seville Street,Fairfield East,NSW,2165
C000173,SILVER FOX CHEMICALS,1/7 Seville Street,Fairfield East,NSW,2165
C000174,SIMS METAL,9/189 O'Riordan Street,Mascot,NSW,2020
C000175,SPECIALTY CEREAL,7 Rodborough Road,Frenchs Forest,NSW,2086
C000176,SPECTRUM PLASTICS,32 Denninup Way,Malaga,WA,6090
C000177,STEELPLAS RECYCLING,23 Action Street,Wacol,QLD,4076
C000178,SURETECO,31-33 Cyber Loop,Dandenong South,VIC,3175
C000179,SVP INDUSTRIES,Main Road,George Town,TAS,7253
C000180,TNB  PLASTIC CO,,,,
C000181,TAMANA GROUP,40 Rippon Road,Hamilton,VIC,3300
C000182,TAPEX,200 Kingsgrove Road,Kingsgrove,NSW,2208
C000183,TATHAM CUTLERY,24-26 Mary Parade,Rydalmere,NSW,2116
C000184,TECHPLAS EXTRUSION  ,321 Wentworth Avenue,Pendle Hill,NSW,2145
C000185,TEMPERATURE CONTROLS ,7 Yamma Street,Sefton,NSW,2162
C000186,TETRA PAK ELEMENT,Level 2/5 Burwood Road,Hawthorn,VIC,3122
C000187,THE GATES RUBBER CO,200 National Drive,Dandenong South,VIC,3175
C000188,THERMAL ELECTRIC,7 Buckman Close,Toormina,NSW,2452
C000189,THERMO POOLS,10 Castle Street,Blacktown,NSW,2148
C000190,THOMAS THOMS,6 Enterprise Street,Wulkuraka,QLD,4305
C000191,TOBIN ELECT COMPONENTS,2C Brunker Road,Chullora,NSW,2190
C000192,TRUCKMATE,5 Walker Place,Wetherill Park,NSW,2164
C000193,TURNKEY ELECTRICAL,179 McCredie Road,Smithfield,NSW,2164
C000194,TUSCAN INDUSTRIES,17 Eveleigh Street,Redfern,NSW,2016
C000195,UGM MANUFACTURING,13C Old Punt Road,Tomago,NSW,2322
C000196,UNIQUE TOOL,1/5 Wenban Place,Wetherill Park,NSW,2164
C000197,UNITED PACIFIC,10 Eastspur Court,Kilsyth South,VIC,3137
C000198,UNOMEDICAL,11-17 Wilmette Place,Mona Vale,NSW,2103
C000199,VICTRENE ENGINEERING,2 Rothschild Avenue,Rosebery,NSW,2018
C000200,VINIDEX - PERTH,Sainsbury Road,O’Connor,WA,6163
C000201,VINIDEX - HEAD OFFICE,224 Musgrave Road,Coopers Plains,QLD,4108
C000202,VINIDEX - COOPERS PLAINS,224 Musgrave Road,Coopers Plains,QLD,4108
C000203,VINIDEX - DERRIMUT,42 Calarco Drive,Derrimut,VIC,3030
C000204,VINIDEX - TOOWOOMBA,Lot 2 Witmack Road,Wellcamp,QLD,4350
C000205,VINIDEX - SMITHFIELD,288 Woodpark Road,Smithfield,NSW,2164
C000206,VINIDEX - SUNSHINE,231-245 St Albans Road,Sunshine,VIC,3020
C000207,VINIDEX - SYDNEY,4/26 College Street,Darlinghurst,NSW,2010
C000208,VINIDEX - TOWNSVILLE,18 Enterprise Avenue,Bohle,QLD,4818
C000209,VINIDEX - WAGGA WAGGA,280 Byrnes Road,Wagga Wagga,NSW,2650
C000210,VIP PLASTIC PACKAGING,L5 B1/658 Church Street,Cremorne,VIC,3121
C000211,VISY BEVERAGE,8/1-3 Jubilee Avenue,Warriewood,NSW,2102
C000212,VULKAN INDUSTRIES,35 Pile Road,Somersby,NSW,2250
C000213,WASSON ENG,14 Stanley Street,Peakhurst,NSW,2210
C000214,WASTE ENTERPRISES,13 Lucca Road,Wyong,NSW,2259
C000215,WEBBING & TRIMMING,26 Watson Road,Padstow,NSW,2211
C000216,WITTMANN AUSTRALIA,2/13 Aster Avenue,Carrum Downs,VIC,3201
C000217,WTD PRODUCTS,34 Brooklyn Avenue,Dandenong,VIC,3175
C000218,WUNDERLICH PLASTICS,102 Long Street,Smithfield,NSW,2164
C000219,X-RAY SUPPLIES,53/76B Edinburgh Road,Marrickville,NSW,2204
C000220,YATALA PLASTICS,7 Enterprise Drive,Beenleigh,QLD,4207
C000221,YATES,1 Gow Street,Padstow,NSW,2211
C000222,YORK PRECISION,33 Vella Drive,Sunshine West,VIC,3020
C000223,ZEZT,10 Terra Nova Drive,Wynyard,TAS,7325
C000224,FOSTER PLASTICS - WA,10 Kingscote Street,Kewdale,WA,6105
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
