legacy_r_number,r_number,customer_name,customer_number,type_short,description_invoice,description_private,voltage,wattage,die_shape
R2034,R2034,GEM PLASTICS,C000080,CKB,,Inside Out Band ,240/415,4000,D400mm x W80mm 
R2035,R2035,ISTRA ELEMENTS,C000094,BCB,,Lead out with Lug Outlet on outer sheath provided,240,1200,Lth940mm X 155
R2036,R2036,ISTRA ELEMENTS,C000094,BCB,,Screw Terminals,240,1200,160 x 82
R2037,R2037,KEY PLASTICS,C000100,SCB,,Ceramic Terminal Block & Housung 20mm T/C Hole,240,1500,160 x 82
R2038,R2038,KEY PLASTICS,C000100,SCB,,Ceramic Terminal Block & Housung,240,900,120 x 150
R2039,R2039,VINIDEX - SUNSHINE,C000206,SCB,,Standard Heatrex Plugall No Holes,240,3000,120 x 70
R2040,R2040,AUSTRALIAN FILM & PIPE,C000030,SCB,,"STD HEATREX PLUGALL  9/16"" HOLE 90 DEGREES",240,1000,D423mm x W75mm
R2041,R2041,MILANO PLASTICS,C000112,SPP,,Plugall in centre,240,1800,320 x 50
R2042,R2042,VINIDEX - PERTH,C000200,SCB,,"2x40mm T/C Holes @180Deg 1"" Cut Out Plug @90Deg",240,3050,138X355 S/L185
R2043,R2043,TECHPLAS EXTRUSION  ,C000184,SCB,,Ceramic Terminal Block@90Deg,240,1500,314 x 105
R2044,R2044,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,Layflat plugall 170mm From end,240,900,80 x 200
R2045,R2045,PACIFIC CHEMICALS,C000125,SCB,,"1"" T/C Hole @90 Deg Plugall 30 from edge @180Deg",240,2400,150 x 65
R2046,R2046,APP,C000024,SPP,,300mm Leads 70mm from end 32mm T/C Hole 75 from end,240,2400,245 x 150
R2047,R2047,VINIDEX - HEAD OFFICE,C000201,SCB,,"Pugall @90Deg 1/2""T/C Hole @270Deg Quick Release Clamp",240,2500,310X260 S/L445
R2048,R2048,VINIDEX - HEAD OFFICE,C000201,SCB,,"Plugall @ 90Deg 1/2""T/C Hole @270Deg Quick Release Clamp",240,2300,D385mm x W70mm
R2049,R2049,VINIDEX - WAGGA WAGGA,C000209,SSCB,,"Piano Hinge, 1/2"" T/C Hole @90Deg, Quick Release Clamp",240,1200,D377mm x W65mm
R2050,R2050,VINIDEX - WAGGA WAGGA,C000209,SSCB,,"Piano Hinge, 1/2"" T/C Hole @90Deg, Quick Release Clamp",240,1200,295X70 S/L455
R2051,R2051,VINIDEX - HEAD OFFICE,C000201,CKB,,"1""T/C Hole @90Deg",240/415,7500,310X80 S/L480
R2052,R2052,GEM PLASTICS,C000080,SCKB,,3 MAKE UP HOLE DIAMETER,240,1200,265 x 227
R2053,R2053,GEM PLASTICS,C000080,SCKB,,3 MAKE UP HOLE DIAMETER,240,1200,850X65 S/L870
R2054,R2054,GEM PLASTICS,C000080,SCKB,,3 MAKE UP HOLE DIAMETER,240,1300,860X105 S/L880
R2055,R2055,GEM PLASTICS,C000080,SCKB,,3 MAKE UP HOLE DIAMETER,240,1200,1000 x 50 S/L1030
