legacy_r_number,r_number,customer_name,customer_number,type_short,description_invoice,description_private,voltage,wattage,die_shape
R100,R0100,FRESH & GREEN AUSTRALIA,C000075,SCB,,,240,3000,112 x 130
R101,R0101,SEALED AIR AUSTRALIA,C000171,SCB,,,240,1300,220 x 50
R102,R0102,SEALED AIR AUSTRALIA,C000171,SCB,,,240,1200,890 x 25
R103,R0103,FRESH & GREEN AUSTRALIA,C000075,PP,,,240,1000,240 x 40
R104,R0104,TAPEX,C000182,SCB,,,240,1200,105 x 35
R105,R0105,TAPEX,C000182,SCB,,,240,350,160 x 45
R106,R0106,TAPEX,C000182,SCB,,,240,800,203 x 32
R107,R0107,TAPEX,C000182,SCB,,,240,600,76 x 50
R108,R0108,TAPEX,C000182,SCB,,,240,400,50 x 30
R109,R0109,TAPEX,C000182,SCB,,,240,250,150 x 190
R110,R0110,CINQPLAST PLASTOP,C000044,SCB,,,240,3000,100 x 50
R111,R0111,EXTRUSION TECH,C000066,SCB,,"STD HX P/ALL 9/16"" THERMO HOLE ",240,550,200 x 90
R112,R0112,MULTI PLASTIC RECYCLERS,C000120,SCB,,,240,1800,330 x 35
R113,R0113,APERIO GROUP,C000022,SCB,,,240,1300,206X42 S/L566
R114,R0114,K&D PLASTICS,C000099,SSCB,,,240,1200,600X50 S/L925
R115,R0115,APERIO GROUP,C000022,SSCB,,,240,1300,203 x 50
R116,R0116,GEM PLASTICS,C000080,SCB,,,240,1100,105 x 120
R117,R0117,KEY PLASTICS,C000100,SCB,,,240,1375,300 x 80
R118,R0118,ADVANCE PROFILE TECH,C000007,SCB,,,240,2200,150 x 100
R119,R0119,APP,C000024,SCB,,,240,1475,70 x 90
R120,R0120,FRESH & GREEN AUSTRALIA,C000075,SCB,,,240,550,300 x 100
R121,R0121,FRESH & GREEN AUSTRALIA,C000075,BCB,,,240,3000,150 x 25
R122,R0122,ALLPLAS EXTRUSIONS,C000017,SCB,,,240,375,110 x 50
R123,R0123,CLOVER PLASTICS,C000048,SCB,,,415,500,390 x 220
R124,R0124,INTEGRATED PACKAGING,C000089,PP,,8X9/16 HOLES NO P/ALL ,240,3000,235 x 190
R125,R0125,PACEMAKER COMPONENTS,C000124,SCB,,,240,3600,165 x 80
R126,R0126,PACEMAKER COMPONENTS,C000124,SCB,,,240,1450,340X80 S/L830
R127,R0127,PACEMAKER COMPONENTS,C000124,SSCB,,,240,2000,250X112 S/L220
R128,R0128,FRESH & GREEN AUSTRALIA,C000075,SPP,,,240,700,110 x 45
R129,R0129,JALCO,C000095,SCB,,,240,450,160 x 40
R130,R0130,TECHPLAS EXTRUSION  ,C000184,BCB,,,240,675,150 x 45
R131,R0131,APP,C000024,SCB,,STANDARD HEATREX PLUGALL NO HOLES,240,750,95X98X95
R132,R0132,OPALITE PLASTICS,C000122,PP,,,415,380,108 x 62
R133,R0133,OPALITE PLASTICS,C000122,SCB,,,415,480,108 x 62
R134,R0134,OPALITE PLASTICS,C000122,SCB,,,415,480,100 x 100
R135,R0135,ALLPLAS EXTRUSIONS,C000017,SCB,,,240,950,90 x 60
R136,R0136,SURETECO,C000178,BCB,,,240,550,195 x 130
R137,R0137,IPLEX - CHIPPING NORTON,C000092,SCB,,,240,2500,130 x 60
R138,R0138,TUSCAN INDUSTRIES,C000194,SCB,,,240,850,424 x 95
R139,R0139,IPLEX - CHIPPING NORTON,C000092,SCB,,,240,3000,210 x 100
R140,R0140,IPLEX - CHIPPING NORTON,C000092,SCB,,,240,1800,175 x 68
R141,R0141,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,1300,175 x 100
R142,R0142,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,1900,160X40 S/L420
R143,R0143,TECHPLAS EXTRUSION  ,C000184,SSCB,,,240,550,160 x 40
R144,R0144,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,700,140 x 35
R145,R0145,PACEMAKER COMPONENTS,C000124,SCB,,,240,500,129 x 88
R146,R0146,CINQPLAST PLASTOP,C000044,CKB,,2 WAY TERMINAL BOX  NO HOLES ,240,1700,140 x 117
R147,R0147,UNOMEDICAL,C000198,SCB,,,240,1000,120 x 60
R148,R0148,UNOMEDICAL,C000198,SCB,,,240,700,120 x 25
R149,R0149,UNOMEDICAL,C000198,SCB,,,240,325,114 x 23
R150,R0150,UNOMEDICAL,C000198,SCB,,,240,300,50 x 25
R151,R0151,SVP INDUSTRIES,C000179,SCB,,,240,150,128X400 S/L170
R152,R0152,OPALITE PLASTICS,C000122,SPP,,,240,1400,123 x 290
R153,R0153,CINQPLAST PLASTOP,C000044,SCB,,,240,2750,230 x 30
R154,R0154,MARCO EXTRUSION,C000107,SCB,,STD HX P/ALL OPP CLAMPS ,240,700,300 x 130
R155,R0155,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,3500,340 x 145
R156,R0156,PCC PACKAGING,C000130,SCB,,,240,4000,254 x 75
R157,R0157,SIMS METAL,C000174,SCB,,,240,1000,220 x 50
R158,R0158,OPALITE PLASTICS,C000122,SCB,,,415,700,245X55 S/L630
R159,R0159,APERIO GROUP,C000022,SSCB,,,240,1000,245 x 90
R160,R0160,APERIO GROUP,C000022,SCB,,,240,2400,125 x 50
R161,R0161,APERIO GROUP,C000022,SCB,,,240,700,132 x 72
R162,R0162,APERIO GROUP,C000022,SCB,,,240,1000,132 x 96
R163,R0163,APERIO GROUP,C000022,SCB,,,240,1300,80 x 85
R164,R0164,TOBIN ELECT COMPONENTS,C000191,SCB,,,240,500,283X275X68
R165,R0165,RX PLASTICS,C000168,SPEC,,SQUARE RXC28368/1100,240,1100,315 x 120 
R166,R0166,VINIDEX - HEAD OFFICE,C000201,SCB,,RK2 EXT ADT,240,3200,218X96X70X198
R167,R0167,CINQPLAST PLASTOP,C000044,SPP,,,240,2600,195X95X45
R168,R0168,RX PLASTICS,C000168,SPEC,,RECTANGLE RXC1959545/800,240,800,220 x 50
R169,R0169,RX PLASTICS,C000168,SCB,,RXC22050/1200,240,1200,170 x 50
R170,R0170,SIMS METAL,C000174,CKB,,,240,1500,570X80 S/L885
R171,R0171,FRESH & GREEN AUSTRALIA,C000075,SSCB,,"STD HX P/ALL WITH 1"" THERMO HOLE",240,1800,150 x 30
R172,R0172,SURETECO,C000178,SCB,,STD HX P/ALL NO HOLES,240,525,150 x 50
R173,R0173,SURETECO,C000178,SCB,,STD HX P/ALL WITH 3/8 HOLE ,240,875,115 x 130
R174,R0174,CINQPLAST PLASTOP,C000044,SCB,,1.5M BRAIDED LEADS OPP PIVOT CLAMP,240,1700,285 x 105
R175,R0175,PLASTIC RECYCLE SERVICES,C000138,SCB,,,415,3000,D212mm x W150mm
R176,R0176,ADVANCE PROFILE TECH,C000007,SCB,,Standard Heatrex Plugall 3/4 Thermo Hole,240,3000,212 x 30
R177,R0177,ADVANCE PROFILE TECH,C000007,SCB,,,240,700,70 x 110
R178,R0178,RADICAL PRODUCTS,C000156,SCB,,,240,750,80 x 60 x 70
R179,R0179,SURETECO,C000178,SPP,,,240,140,D175mm x W80mm
R180,R0180,EXTRUSION TECH,C000066,SCB,,"Standard Heatrex plugall 7/8"" T/C Hole @90Deg",240,1500,D1009 X W140 S/L1488
R181,R0181,ADROIT PIPING,C000006,SSCB,,3 PHASE TERM BOX NUT AND BUSH,240/415,7200,681 x 140
R182,R0182,ADROIT PIPING,C000006,IBH,,STD HX P/ALL NUT AND BUSH,240,2400,220X95X220X95XW45
R183,R0183,APP,C000024,SPP,,STD HX P/ALL NO HOLES ,240,650,220X140X220X140XW125
R184,R0184,APP,C000024,SPP,,STD HX P/ALL,240,2800,340X50 S/L275
R185,R0185,APP,C000024,SPP,,,240,475,D290mm x W45mm
R186,R0186,TECHPLAS EXTRUSION  ,C000184,CKB,,STD HX P/ALL NO HOLES 20MM CLAMP GAP,240,2000,362X265 S/L538
R187,R0187,APP,C000024,SPP,,,240,2600,700 x 260
R188,R0188,TAPEX,C000182,SPP,,,240,1500,500X100 S/L778
R189,R0189,APERIO GROUP,C000022,SSCB,,,240,2250,190 x 110
R190,R0190,APP,C000024,SCB,,,240,2100,362X265 S/L538
R191,R0191,APP,C000024,SPP,,,240,2600,240X62 S/L360
R192,R0192,APERIO GROUP,C000022,SSCB,,,240,750,230 x 200
R193,R0193,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,2500,75 x 92 x 75
R194,R0194,TAPEX,C000182,SPP,,,240,750,200 x 155
R195,R0195,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,3200,160 x 140
R196,R0196,TECHPLAS EXTRUSION  ,C000184,SCB,,"1"" T/C Hole @90Deg Plu@180Deg",240,2500,150 x 50
R197,R0197,OPALITE PLASTICS,C000122,SCB,,,415,700,150X152X150X35
R198,R0198,OPALITE PLASTICS,C000122,SPP,,,415,450,210 x 110
R199,R0199,APP,C000024,SCB,,,240,2350,32 x 125
R200,R0200,TAPEX,C000182,CART,,,415,400,90 x 95
R201,R0201,CROMFORD PIPE MOSSVALE,C000051,SCB,,,240,1200,218 x 50
R202,R0202,CLOROX,C000047,SCB,,,415,1000,254 x 50
R203,R0203,CLOROX,C000047,SCB,,,415,1000,140 x 110
R204,R0204,SEALED AIR AUSTRALIA,C000171,SCB,,,415,1800,116 x 76
R205,R0205,CINQPLAST PLASTOP,C000044,SCB,,Layflat Plugall 3/4 hole & DBL 3/4 slot,240,950,300 x 65
R206,R0206,TECHPLAS EXTRUSION  ,C000184,SCB,,"STD HX P/ALL 3/4"" T/C HOLE @ 90 DEGREES",240,1900,138 x 130
R207,R0207,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,1500,280X124 S/L190
R208,R0208,PPI CORPORATION,C000144,SBCB,,,240,650,280 x 40
R209,R0209,APN COMPOUNDING,C000023,SCB,,,240,1200,225 x 35
R210,R0210,CLOROX,C000047,SCB,,,415,850,225X35 S/L415
R211,R0211,CLOROX,C000047,SSCB,,,415,500,70 x 135
R212,R0212,CLOROX,C000047,SCB,,,415,1000,130 x 110
R213,R0213,TUSCAN INDUSTRIES,C000194,SCB,,,240,1200,310 x 65
R214,R0214,POLO PLASTICS,C000140,SCB,,,240,2200,460 x 23
R215,R0215,M&I PASSALIS,C000104,SPP,,,240,1500,305 x 75
R216,R0216,CLOROX,C000047,SCB,,CHECK DIE SIZE,415,2500,170 x 110
R217,R0217,CLOROX,C000047,SCB,,,415,2050,350 x 55
R218,R0218,CLOROX,C000047,SCB,,,415,2100,160 x 30
R219,R0219,MARCO EXTRUSION,C000107,SCB,,,240,525,270 x 50
R220,R0220,EXTRUSION TECH,C000066,SCB,,,240,1300,41 x 150
R221,R0221,VINIDEX - WAGGA WAGGA,C000209,SBH,,2.5M LEADS M14 NUT AND HANDLE,240,400,100 x 80
R222,R0222,FRESH & GREEN AUSTRALIA,C000075,SCB,,,240,900,280X120X150
R223,R0223,SVP INDUSTRIES,C000179,RAPP,,,240,650,195X260 S/L295
R224,R0224,POLO PLASTICS,C000140,SSCB,,,240,2000,128 x 225
R224A,R0224A,ALDRIDGE TRAFFIC SYSTEMS,C000015,SCB,,"1""T/C Hole 50 from edge",240,3000,235X34 S/L365
R225,R0225,INTEGRATED PACKAGING,C000089,SPP,,1M CONDUIT LEADS,240,500,300 x 55
R226,R0226,VINIDEX - PERTH,C000200,SCB,,2 WAY TERM BOX 40MM CUT OUT 5/8 HOLE QLD W PLUGALL,240,1700,105 x 70
R227,R0227,ACU TECH,C000005,SCB,,"STD HX P/ALL 2 X 3/4"" HOLES",240,600,355 x 80
R228,R0228,ACU TECH,C000005,SCB,,"STD HX P/ALL 2 X 3/4"" HOLES",240,2000,240 x 100
R229,R0229,ACU TECH,C000005,SCB,,"STD HX P/ALL 2 X 3/4"" HOLES",240,2500,100 x 150
R230,R0230,VINIDEX - WAGGA WAGGA,C000209,SSCB,,HINGED BAND WITH P/ALL ON 1 HALF AND LEADS FROM THE OTHER HALF WITH COPPER ELBOW,240,250,80 x 200
R231,R0231,VINIDEX - WAGGA WAGGA,C000209,SSCB,,HINGED BAND WITH P/ALL ON 1 HALF AND LEADS FROM THE OTHER HALF WITH COPPER ELBOW,240,250,250 x 38
R232,R0232,WUNDERLICH PLASTICS,C000218,SCB,,,240,500,110 x 70
R233,R0233,MARCO EXTRUSION,C000107,SCB,,,240,850,200 x 95
R234,R0234,WUNDERLICH PLASTICS,C000218,SCB,,,240,800,58 x 190
R235,R0235,SURETECO,C000178,SCB,,,240,1000,90 x 140
R236,R0236,CINQPLAST PLASTOP,C000044,CKB,,TERM BOX 1M LEADS 5/8 TC HOLE,240,900,110 x 260 x 80
R237,R0237,FENSKE,C000069,SPP,,,240,1025,140 x 25
R237A,R0237A,APP,C000024,SCB,,8mm Cut out @90deg plug @ 240Deg,240,390,620X240 S/L820
R238,R0238,PIPEMAKERS AUSTRALIA,C000133,SSCB,,3 PHASE TERM BOX 3 LARGE CUT OUTS AND ONE HOLE ,240/415,5700,200 x 40
R239,R0239,WUNDERLICH PLASTICS,C000218,SCB,,,240,400,255 x 120
R240,R0240,TECHPLAS EXTRUSION  ,C000184,SCB,,LAYFLAT P/ALL 40MM HOLE,240,3350,255 x 100
R241,R0241,SILVER FOX CHEMICALS,C000173,SCB,,LAYFLAT P/ALL 40MM HOLE,240,2800,D160mmx W100mm 
R242,R0242,MARCO EXTRUSION,C000107,SCB,,"STD HX P/ALL 1"" THERMO HOLE  & 9/'16 THERMO",240,1750,350 x 230
R243,R0243,APP,C000024,PP,,,240,2200,350 x 180
R244,R0244,APP,C000024,PP,,,240,2000,320 x 35
R245,R0245,APERIO GROUP,C000022,SCB,,,240,1250,115 x 90
R246,R0246,M&I PASSALIS,C000104,SCB,,,415,600,245 x 50
R247,R0247,APERIO GROUP,C000022,SCB,,,240,1350,200 x 25
R248,R0248,EXTRUSION TECH,C000066,SCB,,STD HEATREX PLUGALL NO HOLES ,240,500,200 x 90
R249,R0249,EXTRUSION TECH,C000066,SCB,,,240,1900,190 x 25
R250,R0250,MARCO EXTRUSION,C000107,SCB,,,240,450,220 x 165
R251,R0251,APP,C000024,SCB,,"STD HX P/ALL 4 X 1"" BOLT HOLE 4 x 3/4 HOLES ",240,3400,220 x 155
R252,R0252,APP,C000024,SCB,,"STD HX P/ALL 1"" THERMO HOLE ",240,3300,110 x 260 x 40
R253,R0253,FENSKE,C000069,SPP,,,240,500,580 x 110
R254,R0254,HEATREX STOCK,C000083,BCB,,44GAL DRUM HTR,240,2400,140 x 75
R255,R0255,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,1150,140 x 85
R256,R0256,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,1200,140X112 S/L180
R257,R0257,TECHPLAS EXTRUSION  ,C000184,SSCB,,2 WAY TERM BLOCK NO HOLES 115MM LONG BRASS IN PIVOTS,240,700,150 x 60
R258,R0258,SCHLEGEL,C000170,SCB,,STANDARD HEATREX PLUGALL NO HOLE,240,1000,202 x 55
R259,R0259,SURETECO,C000178,SCB,,,240,1100,220 x 90
R260,R0260,AUSTRALIAN CUSTOM PIPES,C000003,SCB,,#17-3514,240,2200,300 x 35
R261,R0261,CROMFORD PIPE MOSSVALE,C000051,SSCB,,HeatrexPlugall 20X110 SLOT & 20X30 SLOT,240,600,185 x 140
R262,R0262,TAPEX,C000182,SCB,,,240,2700,58 x 50
R263,R0263,MARCO EXTRUSION,C000107,BCB,,,240,275,280 x 50
R264,R0264,SILVER FOX CHEMICALS,C000173,SCB,,GREG KING/HACKNY,240,1500,210X170 S/L310
R265,R0265,APP,C000024,SPP,,,240,2000,105 x 60
R266,R0266,APP,C000024,SCB,,,240,650,117 x 50
R267,R0267,APP,C000024,SCB,,,240,600,138 x 100
R268,R0268,APP,C000024,SCB,,,240,1500,128 x 225
R269,R0269,LJ WALLACE GROUP,C000102,SCB,,,240,3000,120 x 152
R270,R0270,LJ WALLACE GROUP,C000102,SCB,,,240,2000,330 x 250
R271,R0271,VINIDEX - PERTH,C000200,SCB,,2 WAY TERM BOX @180 DEGREES 20mm HOLE @90 DEGREES ,240,4000,150 x 80
R272,R0272,PACEMAKER COMPONENTS,C000124,SCB,,STD HX P/ALL ACROSS BAND DBLE SLOTTED HOLE,240,950,208 x 64
R273,R0273,CINQPLAST PLASTOP,C000044,SCB,,,240,1300,302 x 75
R274,R0274,VINIDEX - PERTH,C000200,SCB,,2 WAY TERM BOX 2 X 20MM HOLES AND 1 X25MM HOLE ,240,2100,180X85 S/L277
R275,R0275,TUSCAN INDUSTRIES,C000194,SSCB,,ST HX P/ALL NO HOLES.,240,400,100 x 25
R276,R0276,WUNDERLICH PLASTICS,C000218,SCB,,,240,275,120 x 30
R277,R0277,TUSCAN INDUSTRIES,C000194,SCB,,,240,450,180 x 35
R278,R0278,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,700,178 x 25
R279,R0279,ACACIA PRODUCTS,C000002,SCB,,,240,450,240 x 30
R280,R0280,AUSTRALIAN CUSTOM PIPES,C000003,SCB,,# 20-1325,240,750,110 x 60
R281,R0281,SURETECO,C000178,SCB,,,240,700,Undefined
R282,R0282,VINIDEX - COOPERS PLAINS,C000202,CKB,,,240,1000,129 x 90
R283,R0283,CROMFORD PIPE MOSSVALE,C000051,SCB,,,240,750,D327mm x W160mm
R284,R0284,TECHPLAS EXTRUSION  ,C000184,SCB,,STD HX P/ALL 8 x 32mm CUT OUTS & 3 x 25mm HOLES ,240,3600,105 x 65
R285,R0285,APP,C000024,TUB,,IEH PART# H05975,240,1400,102 x 23
R286,R0286,VINIDEX - HEAD OFFICE,C000201,SPP,,KNIFE BLADE,N/A,N/A,255X250 S/L350
R287,R0287,TECHPLAS EXTRUSION  ,C000184,SSCB,,,240,2000,280 x 30
R288,R0288,CROMFORD,C000050,SCB,,,240,1000,280 x 45
R289,R0289,CROMFORD,C000050,SCB,,,240,1150,80 x 60
R290,R0290,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,450,330 x 85
R291,R0291,KEY PLASTICS,C000100,SCB,,,240,3100,130 x 70
R292,R0292,THE GATES RUBBER CO,C000187,SPP,,,240,325,160X175 S/L335
R293,R0293,SIMS METAL,C000174,SCKB,,,240/415,1400/4200 ,40 x 60
R294,R0294,SURETECO,C000178,SCB,,STAND OFF PLUGALL WITH NUT & BUSH,240,220,110 x 125
R295,R0295,RADICAL PRODUCTS,C000156,SCB,,,240,1500,150 x 135
R296,R0296,ALLPLAS EXTRUSIONS,C000017,SCB,,,240,2400,330 x 220
R297,R0297,VINIDEX - HEAD OFFICE,C000201,SCB,,STD HX P/ALL 2 x 32mm holes ,240,3600,203 x 25
R298,R0298,PACEMAKER COMPONENTS,C000124,SCB,,,240,500,95 x 65
R299,R0299,SILVER FOX CHEMICALS,C000173,SCB,,GREG KING,240,650,110 x 60
R300,R0300,APP,C000024,SCB,,,240,675,60 x 60
R301,R0301,APP,C000024,SCB,,"7/8""T/C @180Deg plug @ 90Deg",240,375,60 x 60
R301A,R0301A,APP,C000024,SCB,,"7/8""T/C @270Deg plug @ 90Deg",240,375,D424mmx W170mm
R302,R0302,VINIDEX - HEAD OFFICE,C000201,SCB,,RK3 COMPRESSION CHAMBER SUPERMAIN 1,240/415,1800/5400,230 x 50
R303,R0303,CLOVER PLASTICS,C000048,SCB,,,240,1200,150 x 25
R304,R0304,APP,C000024,SCB,,,240,400,150 x 90
R305,R0305,APP,C000024,SCB,,,240,1150,255 x 50
R306,R0306,APP,C000024,SCB,,,240,1250,138 x 50
R307,R0307,AUSTRALIAN CUSTOM PIPES,C000003,SCB,,# 37-3754,240,750,150 x 60
R308,R0308,SEALED AIR AUSTRALIA,C000171,SCB,,,240,800,150 x 30
R309,R0309,SEALED AIR AUSTRALIA,C000171,SCB,,,240,525,60 x 100
R310,R0310,SEALED AIR AUSTRALIA,C000171,SCB,,,240,650,150X100 S/L190
R311,R0311,SEALED AIR AUSTRALIA,C000171,SSCB,,,240,700,710 x 36
R312,R0312,CHUNG'S PLASTIC BAGS,C000043,SPP,,,110,1000,500 x 50
R313,R0313,X-RAY SUPPLIES,C000219,MICA,,,240,350,120 x 50
R314,R0314,SEALED AIR AUSTRALIA,C000171,SCB,,,415,500,D327mm x W65mm
R315,R0315,TECHPLAS EXTRUSION  ,C000184,SCB,,"STD HX P/ALL 3/4"" THERMO HOLE ",240,2500,102 x 217
R316,R0316,UNOMEDICAL,C000198,SCB,,,240,2200,200 x 100
R317,R0317,WUNDERLICH PLASTICS,C000218,SCB,,,240,1600,130 x 90
R318,R0318,CTI TOOLING,C000053,SCB,,,240,1300,430 x 70
R319,R0319,SEALED AIR AUSTRALIA,C000171,SCB,,,240,3500,Undefined
R320,R0320,TETRA PAK ELEMENT,C000186,SPIR,,TETRA PAK ELEMENT,380,2500,150 x 50
R321,R0321,ACACIA PRODUCTS,C000002,SCB,,,240,875,110 x 40
R322,R0322,SURETECO,C000178,SCB,,,240,475,272 x 120
R323,R0323,KEY PLASTICS,C000100,SCB,,,240,1700,200 x 100
R324,R0324,VINIDEX - HEAD OFFICE,C000201,CKB,,,240/415,3500,160 x 285
R325,R0325,FRESH & GREEN AUSTRALIA,C000075,PP,,,415,1400,130 x 85
R326,R0326,FOSTER PLASTICS - VIC,C000074,SCB,,,240,1000,80 x 50
R327,R0327,CROMFORD PIPE MOSSVALE,C000051,SCB,,,240,375,880 x 75
R328,R0328,OPALITE PLASTICS,C000122,UND,,RADIANT HEATER,240,1500,260 x 60 
R329,R0329,VPI BUILDING,C000062,SCB,,"STD HX P/ALL 1"" THERMO HOLE",240,1675,240 x 25
R330,R0330,FRESH & GREEN AUSTRALIA,C000075,SCB,,,240,500,240X25 S/L425
R331,R0331,FRESH & GREEN AUSTRALIA,C000075,SSCB,,,240,350,175 x 50
R332,R0332,SVP INDUSTRIES,C000179,SCB,,,240,1000,250 x 50
R333,R0333,SVP INDUSTRIES,C000179,SCB,,,240,1250,150 x 400
R334,R0334,PREFORMED LINE PRODUCTS,C000147,SCB,,,415,6400,600 x 75
R335,R0335,OPALITE PLASTICS,C000122,UND,,RADIANT HEATER,240,1500,105 x 105
R336,R0336,PACEMAKER COMPONENTS,C000124,SCB,,,240,1000,176 x 160
R337,R0337,POLO PLASTICS,C000140,SCB,,,240,2400,680 x 200
R338,R0338,TOBIN ELECT COMPONENTS,C000191,SCB,,,240,2400,322 x 75
R339,R0339,APP,C000024,SCB,,,240,2500,150 x 40
R340,R0340,APP,C000024,SCB,,"STD HX P/ALL 9/16"" THERMO HOLE ",240,640,197 x 90
R341,R0341,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,1900,80 x 165
R342,R0342,CINQPLAST PLASTOP,C000044,SCB,,,240,1400,245 x 195
R343,R0343,VPI BUILDING,C000062,PP,,,240,1600,234 x 141
R344,R0344,VINIDEX - HEAD OFFICE,C000201,CKB,,,240/415,4000,212 x 80
R344A,R0344A,PREFORMED LINE PRODUCTS,C000147,SCB,,,240,1600,170 x 195
R345,R0345,VPI BUILDING,C000062,PP,,STD HX P/ALL 4X8MM HOLES 1X20MM HOLE,240,1100,260 x 125
R346,R0346,KEY PLASTICS,C000100,CKB,,,240,2000,310 x 180
R347,R0347,TUSCAN INDUSTRIES,C000194,PP,,,240,1200,160 x 45
R348,R0348,TAPEX,C000182,SCB,,,240,950,180 x 80
R349,R0349,TUSCAN INDUSTRIES,C000194,PP,,,240,450,178 x 120
R350,R0350,TECHPLAS EXTRUSION  ,C000184,SCB,,STD HX PLUGALL 3/4 THERMO HOLE,240,2400,220 x 205
R351,R0351,APP,C000024,SCB,,,240,4800,250X175 S/L380
R352,R0352,APP,C000024,SPP,,,240,2000,130 x 350
R353,R0353,TAPEX,C000182,SCB,,,380,3700,130 x 30
R354,R0354,CROMFORD PIPE MOSSVALE,C000051,SCB,,,240,350,390 x 100
R355,R0355,TAPEX,C000182,SCB,,,380,4000,255 x 200
R356,R0356,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,3600,255 x 280
R357,R0357,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,3600,164 x 50
R358,R0358,FRESH & GREEN AUSTRALIA,C000075,CKB,,,240,1250,240 x 50
R359,R0359,TAPEX,C000182,SCB,,,240,1200,195 x 110
R360,R0360,APP,C000024,SCB,,,240,2200,250 x 140
R361,R0361,TUSCAN INDUSTRIES,C000194,PP,,,240,1100,80 x 140
R362,R0362,TUSCAN INDUSTRIES,C000194,PP,,,240,300,155 x 60
R363,R0363,AUSTRALIAN CUSTOM PIPES,C000003,SCB,,,240,1000,220 x 140
R364,R0364,AUSTRALIAN CUSTOM PIPES,C000003,SCB,,,240,3000,245 x 97
R365,R0365,VPI BUILDING,C000062,PP,,,240,800,230 x 130
R366,R0366,TECHPLAS EXTRUSION  ,C000184,SCB,,,240,2600,120 x 245
R367,R0367,WTD PRODUCTS,C000217,SPP,,,240,3000,D270mm x W45mm
R368,R0368,SURETECO,C000178,SCB,,STD HX P/ALL NUT AND BUSH,240,1200,132 x 250
R369,R0369,CINQPLAST PLASTOP,C000044,SCB,,,240,2200,130 x 65
R370,R0370,KEY PLASTICS,C000100,SCB,,,240,800,234 x 86
R371,R0371,PCC PACKAGING,C000130,SCB,,,240,2200,340X50 S/L275
R372,R0372,APP,C000024,SPP,,,240,475,180 x 175
R373,R0373,PCC PACKAGING,C000130,PP,,,240,900,210 x 100
R374,R0374,KEY PLASTICS,C000100,SCB,,,240,1800,170 x 225
R375,R0375,CROMFORD PIPE MOSSVALE,C000051,SCB,,,240,3600,185 x 120
R376,R0376,APP,C000024,SCB,,"STD HX P/ALL 1 "" THERMO HOLE",240,2400,185 x 38
R377,R0377,APP,C000024,SCB,,STD HX P/ALL NO HOLES,240,775,D185mm x W55mm 
R378,R0378,SURETECO,C000178,SCB,,"STD HX P/ALL 1/2"" THERMO WITH NUT & BUSH",240,1125,200 x 100
R379,R0379,EAST COAST ELECTRICAL,C000061,SCB,,,240,2200,550 x 65
R380,R0380,IPLEX - CHIPPING NORTON,C000092,SCB,,,240,2800,D240mm x W98mm
R381,R0381,APP,C000024,CKB,,"2 WAY TERM BLOCK 1"" THERMO HOLE HI TEMP LUGS ",240,5000,350 x 100
R382,R0382,IPLEX - CHIPPING NORTON,C000092,SCB,,,240,2000,195 x 55
R383,R0383,SURETECO,C000178,SCB,,,240,1200,400X180X150
R384,R0384,FENSKE,C000069,RAPP,,,240,3000,400X180X70
R385,R0385,FENSKE,C000069,RAPP,,,240,1400,80 x 32
R386,R0386,Amalgamated Diemold DME,C000019,SCB,,,240,275,350X51 S/L550
R387,R0387,CLOROX,C000047,SCKB,,,240,1900,260 x 80
R388,R0388,SIMS METAL,C000174,SCB,,,240,1000,101 x 60
R389,R0389,SURETECO,C000178,SCB,,,240,650,410X45 S/L630
R390,R0390,RONLAI PLASTICS,C000167,SSCB,,,240,1000,460X30 S/L705
R391,R0391,RONLAI PLASTICS,C000167,SSCB,,,240,750,130 x 60
R392,R0392,CROMFORD PIPE MOSSVALE,C000051,SCB,,,240,750,260X270 S/L400
R393,R0393,SEALED AIR AUSTRALIA,C000171,STCB,,IEH # H06847,240,2000,200 x 195
R394,R0394,APP,C000024,CKB,,,240,2 x 3500,D200mm x W120mm
R395,R0395,PIPE COUPLINGS AUSTRALIA,C000131,SCB,,"1"" THERMO LAYFLAT PLUGALL ",240,2300,290 x 106
R396,R0396,APP,C000024,CKB,,"2 WAY TERM BOX HI TEMP LUGS 1"" THERMO HOLE",240,4500,350 x 60
R397,R0397,TAPEX,C000182,PP,,,240,1400,110 x 65
R398,R0398,APP,C000024,SCB,,,240,800,250 x 60
R399,R0399,CROMFORD,C000050,SCB,,,240,1750,203 x 60
R400,R0400,WUNDERLICH PLASTICS,C000218,SCB,,,240,1200,147 x 45
R401,R0401,APP,C000024,SCB,,,240,730,210 x 100
